block_size,swim.trace,gzip.trace,gcc.trace,twolf.trace,mcf.trace
2,92.56480195782885,66.7040852811801,93.5499134158,98.64609050088646,1.0282854117679414
4,92.59382637461947,66.70554044952229,93.7599261561851,98.74612695309264,1.031998129890131
8,93.43190640944876,66.70720349905622,95.8346503569053,98.8442993720279,1.0379109772699147
16,96.1978014004281,66.7851589459592,97.72941904231864,99.37182078769904,50.50204199496721
32,97.85351244916605,66.82424061000657,98.70656973373177,99.64355541563799,75.23672015730925
64,98.79515688027098,66.8450287291807,99.19039409870017,99.76616738190313,87.60653438389505
128,99.29384913240081,66.85542278876775,99.39652848746225,99.8432140904346,93.79316034817046
