associativity,swim.trace,gzip.trace,gcc.trace,twolf.trace,mcf.trace
2,92.59382637461947,66.70554044952229,93.82585813377598,98.74633406790052,1.031998129890131
4,92.59382637461947,66.70554044952229,93.7599261561851,98.74612695309264,1.031998129890131
8,92.58755973917604,66.70554044952229,93.68681922809168,98.72065183172336,1.031998129890131
16,92.49619879086917,66.70554044952229,93.56775383326578,98.71609530594999,1.0315856056543322
32,92.12811641429717,66.70263011283791,93.30131107676615,98.63987705665004,1.031035573339934
64,91.67230114151712,66.70263011283791,92.9063009639643,98.48391960631618,1.0181098139515696
